alfa,beta,flape,profundor,aileronEsquerdo,aileronDireito,leme,CD,CL,CM,CY,C1,CN,Q
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,11.0,10.0,0.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.061,-0.518,-0.017,-0.002,-0.004,0.001,278.4
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.064,-0.447,-0.20199999999999999,-0.003,-0.004,0.001,279.3
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.08199999999999999,-0.6940000000000001,0.44299999999999995,-0.002,-0.001,0.001,281.3
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,17.0,15.0,0.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.061,-0.518,-0.017,-0.002,-0.004,0.001,278.4
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.064,-0.447,-0.20199999999999999,-0.003,-0.004,0.001,279.3
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.08199999999999999,-0.6940000000000001,0.44299999999999995,-0.002,-0.001,0.001,281.3
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,6.0,5.0,0.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.061,-0.518,-0.017,-0.002,-0.004,0.001,278.4
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.064,-0.447,-0.20199999999999999,-0.003,-0.004,0.001,279.3
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.08199999999999999,-0.6940000000000001,0.44299999999999995,-0.002,-0.001,0.001,281.3
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,0.0,0.0,-10.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.061,-0.518,-0.017,-0.002,-0.004,0.001,278.4
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.064,-0.447,-0.20199999999999999,-0.003,-0.004,0.001,279.3
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.08199999999999999,-0.6940000000000001,0.44299999999999995,-0.002,-0.001,0.001,281.3
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,0.0,0.0,-20.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.061,-0.518,-0.017,-0.002,-0.004,0.001,278.4
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.064,-0.447,-0.20199999999999999,-0.003,-0.004,0.001,279.3
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.08199999999999999,-0.6940000000000001,0.44299999999999995,-0.002,-0.001,0.001,281.3
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,0.0,0.0,-25.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-0.518,-0.017,-0.002,-0.004,0.001,278.4
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.064,-0.447,-0.20199999999999999,-0.003,-0.004,0.001,279.3
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,-0.6940000000000001,0.44299999999999995,-0.002,-0.001,0.001,281.3
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.105,-0.748,0.595,-0.001,-0.001,,
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,-0.615,0.22899999999999998,-0.003,-0.031,-0.003,272.5
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.078,-0.616,0.233,-0.004,-0.037000000000000005,-0.005,275.9
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.069,-0.615,0.22699999999999998,-0.002,-0.019,-0.002,278.3
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.607,0.225,-0.02,-0.01,0.018000000000000002,285.1
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.079,-0.608,0.24100000000000002,-0.036000000000000004,-0.017,0.033,286.1
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.085,-0.617,0.26,-0.04,-0.019,0.037000000000000005,287.0
-10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.584,0.21100000000000002,-0.003,-0.004,0.001,281.2
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.086,-0.61,0.563,-0.002,-0.001,0.001,279.4
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.055999999999999994,-0.473,0.19,-0.003,-0.032,-0.002,277.4
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.063,-0.46,0.19,-0.004,-0.039,-0.004,277.8
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.053,-0.466,0.185,-0.003,-0.02,-0.001,279.6
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.054000000000000006,-0.462,0.187,-0.021,-0.01,0.018000000000000002,281.3
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.063,-0.467,0.204,-0.037000000000000005,-0.016,0.034,281.1
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.2,0.0,0.0,10.0,0.0,0.0,0.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.086,-0.61,0.563,-0.002,-0.001,0.001,279.4
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.055999999999999994,-0.473,0.19,-0.003,-0.032,-0.002,277.4
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.063,-0.46,0.19,-0.004,-0.039,-0.004,277.8
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.053,-0.466,0.185,-0.003,-0.02,-0.001,279.6
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.054000000000000006,-0.462,0.187,-0.021,-0.01,0.018000000000000002,281.3
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.063,-0.467,0.204,-0.037000000000000005,-0.016,0.034,281.1
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.07,-0.46799999999999997,0.221,-0.040999999999999995,-0.019,0.038,281.2
-8.2,0.0,0.0,20.0,0.0,0.0,0.0,0.075,-0.436,0.174,-0.004,-0.003,0.001,275.6
-8.3,0.0,0.0,-10.0,0.0,0.0,0.0,0.047,-0.376,-0.052000000000000005,-0.003,-0.004,0.001,284.8
-8.3,0.0,0.0,-10.0,0.0,0.0,0.0,0.053,-0.301,-0.23399999999999999,-0.003,-0.004,0.001,278.1
-8.3,0.0,0.0,-10.0,0.0,0.0,0.0,0.065,-0.551,0.408,-0.002,-0.001,0.001,282.4
